region,farm_size_ha,barley_variety,variety_maturity,soil_type,soil_ph,organic_matter_percent,nitrogen_content_percent,phosphorus_content_ppm,potassium_content_ppm,growing_season_temp_c,rainfall_mm,sunshine_hours_day,yield_tons_ha
Gharb-Chrarda-Beni Hssen,13.52,Assiya,Medium,Clay,7.2,2.7,0.19,17.32,87.4,22.89,495.68,7.96,5.86
Gharb-Chrarda-Beni Hssen,4.03,Khnata,Early,Vertisol,7.5,1.92,0.18,15.46,194.39,20.24,410.16,8.18,4.0
Fès-Boulemane,13.94,Chifaa,Medium,Clay,7.4,1.36,0.21,8.87,195.49,,,7.85,2.21
Marrakech-Tensift-Al Haouz,,Khnata,Early,Loam,7.9,2.56,0.21,24.22,113.19,22.76,193.0,9.38,2.64
Chaouia-Ouardigha,28.36,Assiya,Medium,Vertisol,7.1,1.62,0.19,10.42,125.31,18.25,306.54,7.73,2.6
Fès-Boulemane,5.6,Amira,Late,Sandy,7.2,1.35,,20.04,147.38,24.76,,8.02,2.63
Gharb-Chrarda-Beni Hssen,1.97,Assiya,Medium,Vertisol,7.3,1.1,0.17,16.36,163.53,19.07,451.51,7.02,4.36
Gharb-Chrarda-Beni Hssen,7.55,Khnata,Early,Clay,6.8,2.89,0.1,17.16,120.23,20.2,436.34,7.04,3.65
Rabat-Salé-Zemmour-Zaër,4.22,Assiya,Medium,Loam,8.1,1.53,0.22,16.65,162.95,22.42,462.6,8.88,2.93
Doukkala-Abda,12.12,Massine,Late,Sandy,7.2,1.1,0.12,24.3,121.69,17.59,443.26,8.04,
Gharb-Chrarda-Beni Hssen,4.96,Amira,Late,Loam,7.4,,0.21,34.03,87.77,22.47,521.12,8.23,1.11
Marrakech-Tensift-Al Haouz,,Amira,Late,Clay,,2.07,0.24,24.06,80.35,22.08,222.77,9.0,2.09
Chaouia-Ouardigha,18.48,Amira,Late,Vertisol,7.4,1.81,0.2,21.25,94.16,20.53,314.63,8.83,1.54
Marrakech-Tensift-Al Haouz,5.01,Khnata,Early,Sandy,8.3,1.44,0.18,18.24,190.92,20.71,240.93,8.58,4.93
Doukkala-Abda,20.26,Assiya,Medium,Vertisol,7.7,1.62,0.16,24.1,214.6,21.17,453.11,7.05,1.56
Chaouia-Ouardigha,22.9,Chifaa,Medium,Vertisol,6.9,1.26,0.14,14.06,139.78,17.68,304.11,8.75,4.62
Tadla-Azilal,4.45,Khnata,Early,Clay,7.6,1.56,0.14,24.1,151.78,16.77,334.72,7.74,2.93
Tanger-Tétouan,6.5,Khnata,Early,Loam,6.9,,0.19,18.25,100.56,18.0,349.5,5.82,1.37
Souss-Massa-Drâa,2.27,Khnata,Early,Sandy,7.9,1.89,0.21,17.84,157.14,,252.27,8.97,5.06
Fès-Boulemane,3.13,Assiya,Medium,Clay,8.0,1.89,0.2,11.94,100.25,18.96,264.22,,3.9
Chaouia-Ouardigha,,Massine,Late,Sandy,7.4,1.7,0.11,8.79,165.57,17.44,340.36,7.3,2.18
Meknès-Tafilalet,3.13,Khnata,Early,Clay,7.5,1.36,0.16,24.07,210.66,19.7,386.31,8.26,5.47
Gharb-Chrarda-Beni Hssen,8.11,Assiya,Medium,Vertisol,6.9,2.57,0.21,21.27,107.4,19.5,470.6,6.12,1.23
Chaouia-Ouardigha,22.73,Khnata,Early,Vertisol,7.4,1.46,0.16,15.52,187.04,20.95,299.94,5.11,2.01
Gharb-Chrarda-Beni Hssen,2.05,Massine,Late,Vertisol,7.2,1.66,0.17,17.29,83.29,18.76,409.83,7.62,4.76
Chaouia-Ouardigha,19.18,Khnata,Early,Vertisol,6.5,1.34,0.21,22.23,132.57,19.93,340.45,7.29,4.55
Tadla-Azilal,4.22,Assiya,Medium,Clay,7.9,1.53,0.19,8.47,95.5,18.71,285.18,6.86,2.45
Doukkala-Abda,29.07,Amira,Late,Vertisol,7.5,1.86,0.15,,129.35,20.68,303.76,8.07,1.31
Meknès-Tafilalet,7.51,Amira,Late,Loam,8.1,1.43,0.23,10.38,104.3,21.04,441.81,7.19,5.29
Fès-Boulemane,12.19,Assiya,Medium,Clay,7.0,1.02,0.11,23.07,132.26,16.72,374.13,5.47,2.57
Gharb-Chrarda-Beni Hssen,8.48,Assiya,Medium,Vertisol,6.2,2.23,0.25,29.6,138.45,20.45,417.89,7.53,1.98
Marrakech-Tensift-Al Haouz,1.13,Assiya,Medium,Clay,8.1,1.55,0.1,10.8,122.08,21.95,237.91,8.09,3.58
Doukkala-Abda,20.83,Khnata,Early,Sandy,7.6,,0.08,26.32,,21.51,386.6,7.68,5.55
Tanger-Tétouan,14.3,Khnata,Early,Sandy,6.7,,,13.32,208.64,19.58,280.79,7.16,1.22
Rabat-Salé-Zemmour-Zaër,9.22,Assiya,Medium,Loam,7.0,2.71,0.12,11.03,136.08,19.33,420.49,4.18,4.83
Tadla-Azilal,12.38,Khnata,Early,Clay,8.9,1.26,0.2,22.61,106.93,19.85,333.88,8.06,3.86
Souss-Massa-Drâa,13.32,Khnata,Early,Loam,7.9,1.25,0.22,,117.9,22.52,247.73,6.76,3.13
Marrakech-Tensift-Al Haouz,3.81,Amira,Late,Sandy,8.3,1.08,0.23,14.78,199.56,,242.51,7.53,4.72
Tadla-Azilal,3.57,Massine,Late,Clay,7.2,,0.25,10.89,160.03,22.3,351.09,7.87,5.83
Chaouia-Ouardigha,20.27,Amira,Late,Sandy,6.6,2.08,0.13,14.51,143.7,19.96,,6.79,2.15
Doukkala-Abda,15.28,Khnata,Early,Sandy,7.4,1.37,0.2,32.43,,20.77,385.58,6.11,1.72
Chaouia-Ouardigha,26.0,Khnata,Early,Clay,7.1,1.4,0.1,14.17,142.96,19.3,407.67,8.33,5.56
Fès-Boulemane,13.55,Massine,Late,Sandy,7.3,2.09,0.15,24.18,118.99,14.65,,6.92,4.34
Gharb-Chrarda-Beni Hssen,5.62,Khnata,Early,Clay,7.2,2.45,0.22,,212.04,16.74,572.06,6.47,3.19
Fès-Boulemane,3.93,Khnata,Early,Clay,7.6,1.67,0.14,10.46,203.77,19.22,399.75,9.42,3.87
Souss-Massa-Drâa,11.82,Amira,Late,Loam,7.9,1.02,0.18,11.01,91.75,20.89,273.54,8.19,4.73
Gharb-Chrarda-Beni Hssen,4.48,Amira,Late,Vertisol,6.8,2.54,0.17,32.25,152.33,20.79,374.5,6.92,4.87
Fès-Boulemane,12.43,Amira,Late,Clay,7.7,1.13,0.19,14.68,111.51,24.58,330.46,7.36,5.6
Marrakech-Tensift-Al Haouz,6.64,Khnata,Early,Loam,7.2,1.05,0.25,8.07,137.51,22.17,254.91,8.31,3.13
Chaouia-Ouardigha,21.69,Khnata,Early,Vertisol,6.6,1.36,0.09,12.66,202.76,22.32,280.24,7.38,2.47
Souss-Massa-Drâa,1.89,Massine,Late,Sandy,8.3,1.27,0.18,18.16,153.85,,,8.13,4.2
Chaouia-Ouardigha,20.6,Khnata,Early,Vertisol,7.4,1.41,0.23,21.59,126.79,22.11,273.28,7.61,3.08
Tanger-Tétouan,7.05,Amira,Late,Clay,7.5,0.92,0.16,10.27,109.1,17.79,370.18,7.52,3.97
Rabat-Salé-Zemmour-Zaër,9.01,Amira,Late,Clay,6.8,2.68,0.09,9.88,192.05,19.33,420.36,7.02,3.1
Doukkala-Abda,,Amira,Late,Sandy,7.1,1.95,0.18,,167.43,19.96,283.92,,1.76
Chaouia-Ouardigha,23.42,Assiya,Medium,Vertisol,7.1,0.8,0.14,20.77,145.53,18.87,301.17,8.71,3.35
Souss-Massa-Drâa,13.01,Khnata,Early,Loam,7.4,1.89,0.11,18.03,,22.27,301.92,8.68,4.45
Meknès-Tafilalet,3.64,Amira,Late,Loam,7.1,1.18,0.22,21.08,126.79,20.53,321.47,7.44,5.0
Meknès-Tafilalet,1.89,Chifaa,Medium,Clay,7.8,1.84,0.17,15.29,214.38,16.67,323.96,7.26,3.47
Rabat-Salé-Zemmour-Zaër,0.84,Massine,Late,Loam,8.2,2.17,0.24,20.89,152.81,21.0,479.59,7.92,1.83
Chaouia-Ouardigha,21.05,Khnata,Early,Vertisol,7.1,1.51,,14.32,136.1,,357.48,9.36,3.07
Gharb-Chrarda-Beni Hssen,9.3,Khnata,Early,Loam,7.4,2.11,0.2,19.88,153.0,21.98,509.25,7.15,4.93
Chaouia-Ouardigha,18.67,Massine,Late,Sandy,6.6,,0.08,,189.06,21.91,355.64,8.51,3.06
Souss-Massa-Drâa,3.86,Amira,Late,Clay,8.3,1.0,0.15,15.13,127.62,21.0,248.4,7.38,4.48
Marrakech-Tensift-Al Haouz,6.17,Chifaa,Medium,Sandy,7.7,1.74,,24.68,105.02,24.3,281.41,8.25,3.54
Fès-Boulemane,9.12,Khnata,Early,Loam,7.7,1.94,,13.94,161.89,19.69,428.98,7.22,2.21
Chaouia-Ouardigha,17.42,Amira,Late,Sandy,7.1,1.79,0.11,23.67,173.13,14.76,295.06,6.28,4.98
Fès-Boulemane,14.82,Amira,Late,Loam,8.2,2.43,0.13,23.86,179.78,16.36,367.4,7.84,1.42
Fès-Boulemane,,Amira,Late,Sandy,7.1,1.29,0.17,12.11,203.48,18.79,292.99,8.1,3.62
Meknès-Tafilalet,10.58,Assiya,Medium,Clay,7.8,1.88,0.12,21.57,131.96,15.56,312.19,7.9,2.04
Meknès-Tafilalet,6.36,Khnata,Early,Clay,7.4,,0.12,15.36,90.55,14.86,433.71,8.47,1.34
Souss-Massa-Drâa,6.71,Amira,Late,Sandy,7.9,1.99,0.18,23.6,214.17,24.34,275.04,8.65,3.51
Gharb-Chrarda-Beni Hssen,10.91,Khnata,Early,Clay,7.1,2.2,0.1,24.0,140.9,22.47,505.53,6.86,3.5
Chaouia-Ouardigha,22.31,Assiya,Medium,Vertisol,6.9,1.34,0.09,20.65,167.26,20.5,361.17,8.41,4.53
Meknès-Tafilalet,14.87,Massine,Late,Clay,,2.02,0.14,15.94,173.28,20.59,260.96,7.72,4.72
Rabat-Salé-Zemmour-Zaër,2.36,Assiya,Medium,Clay,7.5,1.95,0.2,11.87,156.51,22.61,512.65,6.55,4.64
Marrakech-Tensift-Al Haouz,2.01,Chifaa,Medium,Sandy,8.1,0.93,0.17,11.39,108.74,21.86,295.39,9.44,3.05
Rabat-Salé-Zemmour-Zaër,11.0,Khnata,Early,Loam,7.5,1.94,0.15,15.23,185.72,20.77,471.13,,4.16
Gharb-Chrarda-Beni Hssen,8.89,Amira,Late,Vertisol,,2.51,0.18,30.11,192.53,16.38,394.2,7.62,3.88
Gharb-Chrarda-Beni Hssen,4.48,Massine,Late,Clay,7.5,2.9,0.14,27.1,157.42,20.31,390.75,6.36,3.11
Gharb-Chrarda-Beni Hssen,1.65,Khnata,Early,Vertisol,6.9,2.26,0.24,28.77,148.4,22.89,449.79,8.57,3.99
Chaouia-Ouardigha,7.14,Khnata,Early,Vertisol,7.5,2.03,0.09,12.8,95.95,20.33,384.19,7.25,5.74
Chaouia-Ouardigha,27.35,Assiya,Medium,Vertisol,6.8,0.96,0.19,16.18,91.75,18.78,334.81,8.49,1.96
Chaouia-Ouardigha,9.8,Khnata,Early,Vertisol,7.4,1.32,0.23,8.75,127.54,19.24,314.53,7.52,5.53
Meknès-Tafilalet,5.19,Amira,Late,Loam,7.8,1.38,0.22,,123.52,18.66,378.11,6.96,1.27
Fès-Boulemane,3.79,Massine,Late,Sandy,6.5,1.45,0.11,24.83,213.51,20.43,342.17,6.78,2.54
Gharb-Chrarda-Beni Hssen,5.65,Assiya,Medium,Vertisol,7.2,2.24,0.13,23.14,189.71,20.83,,7.06,2.44
Tadla-Azilal,,Khnata,Early,Vertisol,7.3,1.78,0.2,8.19,172.39,21.0,313.64,8.58,4.13
Doukkala-Abda,17.98,Assiya,Medium,Sandy,7.1,1.32,0.09,18.4,152.47,18.3,291.93,7.19,1.66
Gharb-Chrarda-Beni Hssen,1.48,Amira,Late,Clay,7.6,2.27,,28.05,103.43,21.02,566.65,6.34,5.41
Rabat-Salé-Zemmour-Zaër,12.11,Khnata,Early,Loam,7.2,2.18,0.2,18.41,216.98,22.33,493.37,7.51,5.14
Doukkala-Abda,10.84,Amira,Late,Clay,7.1,1.13,0.2,30.76,132.51,17.05,314.59,10.02,4.26
Chaouia-Ouardigha,18.5,Amira,Late,Vertisol,7.2,1.45,0.1,12.32,94.97,19.78,379.18,5.64,3.29
Fès-Boulemane,13.26,Amira,Late,Clay,7.8,1.44,0.2,20.98,149.13,15.79,317.34,7.6,5.66
Doukkala-Abda,21.27,Khnata,Early,Vertisol,7.4,1.43,0.2,28.76,202.36,18.06,363.55,6.7,5.15
Tadla-Azilal,8.23,Amira,Late,Clay,8.1,1.51,0.22,13.49,204.22,17.69,389.8,6.75,3.5
Souss-Massa-Drâa,5.2,Khnata,Early,Sandy,8.2,1.53,0.09,17.27,81.54,25.9,213.31,8.88,4.51
Meknès-Tafilalet,5.33,Khnata,Early,Clay,6.4,1.33,0.08,10.5,204.08,17.27,329.03,7.53,3.83
Souss-Massa-Drâa,10.21,Chifaa,Medium,Sandy,7.8,2.01,0.14,15.69,,23.35,286.31,8.67,3.94
Souss-Massa-Drâa,14.92,Amira,Late,Loam,7.8,1.03,0.11,22.98,85.46,21.53,243.34,9.56,2.65
Doukkala-Abda,,Khnata,Early,Sandy,7.7,,0.17,23.42,198.69,18.25,240.5,9.68,3.31
Souss-Massa-Drâa,,Khnata,Early,Sandy,7.0,2.61,0.24,,200.94,,350.33,8.0,1.39
Marrakech-Tensift-Al Haouz,11.09,Khnata,Early,Loam,9.0,1.08,0.15,18.03,163.47,24.71,236.77,9.7,2.79
Souss-Massa-Drâa,7.25,Khnata,Early,Loam,8.2,0.96,0.22,11.26,160.42,25.64,289.09,8.79,4.48
Souss-Massa-Drâa,1.37,Khnata,Early,Loam,8.1,1.79,0.08,17.88,,22.27,239.93,8.46,5.77
Fès-Boulemane,8.65,Khnata,Early,Clay,8.1,0.8,0.11,16.6,190.08,17.58,372.03,,5.82
Chaouia-Ouardigha,28.94,Assiya,Medium,Sandy,7.9,1.41,0.09,14.78,204.61,19.94,171.99,9.01,3.78
Doukkala-Abda,9.38,Amira,Late,Clay,,2.36,0.14,17.39,157.38,20.92,418.82,8.22,4.03
Gharb-Chrarda-Beni Hssen,10.51,Amira,Late,Vertisol,7.5,1.43,0.23,23.33,215.47,19.88,499.3,7.71,1.93
Souss-Massa-Drâa,3.41,Amira,Late,Sandy,8.1,0.8,0.1,9.24,219.46,24.24,260.68,,4.48
Souss-Massa-Drâa,8.27,Khnata,Early,Sandy,7.9,0.9,0.18,9.68,96.32,24.52,222.4,,1.35
Chaouia-Ouardigha,7.42,Massine,Late,Sandy,7.1,1.86,0.16,,198.94,22.64,381.35,8.59,2.42
Gharb-Chrarda-Beni Hssen,7.03,Chifaa,Medium,Vertisol,7.0,,0.24,21.11,149.98,19.19,420.44,6.62,4.34
Gharb-Chrarda-Beni Hssen,11.46,Chifaa,Medium,Vertisol,7.0,1.94,0.1,33.51,134.26,22.79,455.07,,2.55
Doukkala-Abda,13.69,Chifaa,Medium,Vertisol,6.8,1.77,0.12,22.51,165.83,18.64,317.68,8.34,1.25
Chaouia-Ouardigha,21.62,Massine,Late,Sandy,7.2,2.06,0.09,20.88,87.84,19.82,253.2,5.82,5.16
Fès-Boulemane,12.03,Assiya,Medium,Sandy,6.7,2.21,0.15,17.01,150.9,18.02,476.31,6.17,2.55
Tadla-Azilal,13.94,Khnata,Early,Clay,7.6,1.4,0.13,19.97,201.92,16.29,351.0,6.7,1.32
Fès-Boulemane,3.9,Amira,Late,Sandy,7.5,0.8,0.23,12.42,109.88,17.27,292.52,6.4,1.37
Gharb-Chrarda-Beni Hssen,,Amira,Late,Vertisol,7.2,1.79,0.18,,139.69,18.22,547.6,7.21,2.26
Meknès-Tafilalet,2.71,Amira,Late,Loam,7.2,1.33,0.18,17.01,211.53,18.16,,8.68,1.89
Gharb-Chrarda-Beni Hssen,14.89,Assiya,Medium,Clay,8.1,2.07,0.17,31.63,140.0,22.0,434.78,4.7,
Tanger-Tétouan,13.94,Khnata,Early,Clay,8.2,1.42,0.1,14.21,130.17,22.35,455.75,6.93,2.61
Tanger-Tétouan,8.33,Assiya,Medium,Sandy,6.9,,0.16,9.7,141.68,22.67,319.81,7.03,
Doukkala-Abda,26.05,Massine,Late,Vertisol,7.6,2.01,0.25,28.47,152.72,,276.04,6.87,1.87
Gharb-Chrarda-Beni Hssen,8.05,Amira,Late,Clay,7.0,2.11,0.22,15.16,168.48,20.77,480.19,6.04,3.46
Fès-Boulemane,9.54,Assiya,Medium,Clay,7.0,1.94,0.23,16.08,192.1,19.26,442.99,5.84,4.44
Fès-Boulemane,1.79,Khnata,Early,Loam,6.8,1.64,0.22,11.28,143.29,19.03,304.48,8.25,4.26
Chaouia-Ouardigha,23.88,Assiya,Medium,Sandy,7.3,1.53,0.1,18.67,194.45,21.12,344.08,8.63,4.01
Marrakech-Tensift-Al Haouz,2.35,Chifaa,Medium,Clay,7.7,1.86,0.12,24.65,154.72,25.0,295.63,8.54,5.62
Gharb-Chrarda-Beni Hssen,,Amira,Late,Vertisol,7.5,2.24,0.08,24.29,127.39,20.53,,8.09,2.14
Chaouia-Ouardigha,24.55,Chifaa,Medium,Sandy,7.5,2.32,0.13,21.9,172.11,20.67,299.22,6.77,3.47
Fès-Boulemane,10.78,Assiya,Medium,Clay,8.2,0.92,0.1,16.63,180.48,21.49,289.8,7.29,5.42
Tadla-Azilal,1.02,Amira,Late,Clay,7.1,1.29,0.16,16.43,158.13,19.35,436.03,6.2,1.39
Doukkala-Abda,12.58,Khnata,Early,Sandy,7.7,1.45,0.2,33.61,87.93,18.75,431.37,8.03,1.28
Chaouia-Ouardigha,11.58,Amira,Late,Vertisol,7.4,1.68,0.23,23.13,103.78,19.1,288.19,8.03,2.17
Gharb-Chrarda-Beni Hssen,5.72,Assiya,Medium,Clay,7.1,2.83,0.21,30.72,119.94,24.4,440.37,8.44,4.17
Tanger-Tétouan,1.77,Assiya,Medium,Loam,7.1,1.49,0.24,13.04,,18.61,329.6,7.39,2.3
Doukkala-Abda,28.42,Amira,Late,Vertisol,8.3,0.93,0.09,25.9,174.28,23.52,358.09,6.27,1.95
Meknès-Tafilalet,8.53,Massine,Late,Loam,7.6,1.84,0.08,11.81,82.57,17.96,343.48,7.38,3.29
Rabat-Salé-Zemmour-Zaër,,Khnata,Early,Clay,7.8,2.58,0.19,15.55,185.8,19.79,480.45,8.37,4.07
Doukkala-Abda,14.92,Chifaa,Medium,Vertisol,7.1,0.8,0.13,24.68,117.15,20.75,367.99,4.47,2.24
Meknès-Tafilalet,6.98,Khnata,Early,Loam,6.9,1.5,0.12,22.14,123.4,14.69,438.47,8.15,2.5
Gharb-Chrarda-Beni Hssen,9.21,Assiya,Medium,Vertisol,7.0,1.4,0.14,32.92,153.91,18.33,420.03,7.24,4.07
Meknès-Tafilalet,7.98,Khnata,Early,Loam,7.4,1.23,0.13,15.05,110.23,20.47,453.7,7.6,5.73
Meknès-Tafilalet,13.83,Assiya,Medium,Clay,7.0,1.14,0.17,8.3,203.83,18.83,354.09,7.74,4.37
Marrakech-Tensift-Al Haouz,7.71,Assiya,Medium,Loam,8.0,1.82,0.15,22.65,91.95,23.23,253.41,7.11,4.91
Chaouia-Ouardigha,29.8,Khnata,Early,Sandy,6.7,1.55,0.17,10.96,142.21,19.87,338.74,8.23,2.83
Souss-Massa-Drâa,12.85,Assiya,Medium,Loam,7.6,0.99,0.19,18.57,198.92,20.44,206.69,8.51,2.36
Fès-Boulemane,3.52,Massine,Late,Clay,7.8,1.85,0.15,8.42,166.22,14.15,384.74,8.23,3.27
Doukkala-Abda,28.26,Khnata,Early,Sandy,7.8,0.93,0.12,22.99,120.93,20.84,310.1,8.8,5.04
Chaouia-Ouardigha,7.91,Chifaa,Medium,Sandy,7.1,1.63,0.11,24.76,138.91,17.42,329.15,7.43,3.28
Marrakech-Tensift-Al Haouz,12.35,Assiya,Medium,Clay,7.6,1.17,0.14,9.71,178.94,20.74,225.54,8.44,5.23
Meknès-Tafilalet,6.02,Amira,Late,Clay,7.0,,0.21,15.2,216.26,14.33,281.82,7.06,
Chaouia-Ouardigha,26.95,Khnata,Early,Sandy,7.1,1.7,0.21,13.22,205.04,20.42,416.7,6.84,1.36
Gharb-Chrarda-Beni Hssen,13.09,Khnata,Early,Clay,7.4,2.46,0.19,33.1,127.94,,372.45,8.18,1.23
Doukkala-Abda,25.15,Khnata,Early,Vertisol,8.0,2.03,0.12,32.39,219.75,22.71,351.13,9.08,1.75
Meknès-Tafilalet,11.96,Khnata,Early,Clay,7.3,1.47,0.18,12.04,80.49,20.65,238.03,6.95,2.92
Doukkala-Abda,12.62,Khnata,Early,Sandy,6.9,1.62,0.18,16.62,83.87,18.63,260.54,9.23,1.66
Meknès-Tafilalet,1.67,Amira,Late,Clay,7.6,1.32,0.16,18.66,195.34,18.0,319.22,7.53,5.35
Gharb-Chrarda-Beni Hssen,6.34,Chifaa,Medium,Loam,7.0,2.29,0.17,21.73,107.92,19.2,421.89,7.57,1.12
Tadla-Azilal,3.02,Chifaa,Medium,Vertisol,7.2,1.68,0.16,19.43,88.51,17.44,414.4,,2.58
Chaouia-Ouardigha,22.37,Amira,Late,Sandy,7.6,1.46,0.18,8.55,113.2,21.57,274.93,6.69,1.92
Fès-Boulemane,5.52,Khnata,Early,Clay,7.9,0.8,0.2,10.27,139.65,17.43,388.74,9.07,5.66
Chaouia-Ouardigha,29.39,Khnata,Early,Vertisol,7.2,1.63,0.1,19.67,182.28,21.27,375.25,8.39,4.35
Tadla-Azilal,9.79,Assiya,Medium,Loam,6.9,1.65,0.21,11.61,167.41,20.22,317.23,8.16,5.56
Souss-Massa-Drâa,,Khnata,Early,Sandy,8.1,1.23,0.1,22.58,113.27,19.88,299.51,9.08,5.86
Doukkala-Abda,8.31,Assiya,Medium,Sandy,8.0,0.99,0.09,16.17,150.46,17.99,450.85,8.32,3.49
Meknès-Tafilalet,13.0,Assiya,Medium,Clay,7.3,2.09,0.25,,209.67,18.0,357.38,6.68,2.17
Souss-Massa-Drâa,13.88,Assiya,Medium,Sandy,8.5,1.7,0.24,24.98,194.1,21.17,267.33,8.01,1.97
Marrakech-Tensift-Al Haouz,7.56,Assiya,Medium,Sandy,,1.41,0.09,15.36,125.25,19.59,250.77,7.34,2.11
Gharb-Chrarda-Beni Hssen,9.29,Chifaa,Medium,Vertisol,7.7,1.63,0.16,29.06,217.52,,543.76,7.84,4.54
Doukkala-Abda,24.12,Chifaa,Medium,Clay,7.7,1.17,0.11,18.65,179.21,20.19,291.47,8.1,1.2
Chaouia-Ouardigha,9.37,Assiya,Medium,Vertisol,7.4,2.02,0.16,18.37,88.74,21.38,354.29,6.97,1.26
Souss-Massa-Drâa,7.79,Massine,Late,Sandy,8.6,1.56,0.22,20.34,84.92,21.84,197.6,9.33,4.04
Tadla-Azilal,6.28,Massine,Late,Clay,7.7,1.28,0.24,13.35,103.58,15.89,378.11,7.29,4.21
Meknès-Tafilalet,2.62,Assiya,Medium,Clay,7.2,1.7,0.19,22.09,181.9,18.3,376.24,8.73,4.33
Fès-Boulemane,5.83,Assiya,Medium,Clay,7.3,1.17,0.14,18.26,105.72,16.87,335.76,5.17,2.86
Fès-Boulemane,1.49,Assiya,Medium,Sandy,7.6,2.1,0.18,14.62,151.61,20.06,351.7,7.11,5.03
Meknès-Tafilalet,0.87,Massine,Late,Clay,6.9,2.04,0.13,17.48,93.06,18.84,387.39,6.48,3.67
Souss-Massa-Drâa,2.46,Chifaa,Medium,Sandy,7.9,1.31,0.23,17.8,208.92,24.46,,8.36,1.53
Souss-Massa-Drâa,14.47,Khnata,Early,Sandy,8.4,1.25,0.23,,128.15,21.9,263.48,6.72,4.99
Rabat-Salé-Zemmour-Zaër,8.47,Assiya,Medium,Sandy,6.4,0.89,0.17,14.85,207.14,20.81,440.3,9.18,5.77
Meknès-Tafilalet,14.5,Amira,Late,Clay,8.3,0.91,0.14,13.84,212.28,18.82,328.61,6.64,1.3
Chaouia-Ouardigha,15.81,Assiya,Medium,Vertisol,7.5,0.96,0.13,14.82,80.86,17.25,331.68,,2.96
Doukkala-Abda,12.8,Khnata,Early,Sandy,7.3,1.55,0.09,30.22,144.98,20.54,355.0,6.88,3.44
Souss-Massa-Drâa,7.84,Chifaa,Medium,Sandy,8.2,1.37,0.22,16.2,83.45,21.5,253.21,8.23,1.73
Marrakech-Tensift-Al Haouz,6.87,Amira,Late,Sandy,8.0,0.96,0.16,23.99,207.22,22.06,245.17,9.11,5.34
Chaouia-Ouardigha,7.64,Chifaa,Medium,Vertisol,7.6,1.39,0.14,12.99,152.58,19.37,307.12,7.32,2.42
Chaouia-Ouardigha,21.02,Chifaa,Medium,Sandy,7.5,1.7,0.16,15.07,90.49,19.35,295.24,9.53,4.92
Meknès-Tafilalet,3.63,Amira,Late,Clay,6.8,1.71,0.22,21.38,95.44,17.44,335.17,7.11,4.35
Chaouia-Ouardigha,20.49,Assiya,Medium,Sandy,7.4,0.8,0.1,17.28,,19.4,247.39,7.78,3.99
Doukkala-Abda,21.26,Amira,Late,Sandy,7.4,1.45,0.23,,211.63,21.87,275.43,8.13,1.96
Marrakech-Tensift-Al Haouz,2.7,Khnata,Early,Sandy,8.0,0.95,0.23,8.91,177.01,18.6,240.29,7.72,2.1
